CITY_NAME,STATE_ID,CODE,LAT,LNG,TIMEZONE
Afonso Cláudio,8,3200102,-20.0778,-41.1261,America/Sao_Paulo
Água Doce do Norte,8,3200169,-18.5482,-40.9854,America/Sao_Paulo
Águia Branca,8,3200136,-18.9846,-40.7437,America/Sao_Paulo
Alegre,8,3200201,-20.758,-41.5382,America/Sao_Paulo
Alfredo Chaves,8,3200300,-20.6396,-40.7543,America/Sao_Paulo
Alto Rio Novo,8,3200359,-19.0618,-41.0209,America/Sao_Paulo
Anchieta,8,3200409,-20.7955,-40.6425,America/Sao_Paulo
Apiacá,8,3200508,-21.1523,-41.5693,America/Sao_Paulo
Aracruz,8,3200607,-19.82,-40.2764,America/Sao_Paulo
Atilio Vivacqua,8,3200706,-20.913,-41.1986,America/Sao_Paulo
Baixo Guandu,8,3200805,-19.5213,-41.0109,America/Sao_Paulo
Barra de São Francisco,8,3200904,-18.7548,-40.8965,America/Sao_Paulo
Boa Esperança,8,3201001,-18.5395,-40.3025,America/Sao_Paulo
Bom Jesus do Norte,8,3201100,-21.1173,-41.6731,America/Sao_Paulo
Brejetuba,8,3201159,-20.1395,-41.2954,America/Sao_Paulo
Cachoeiro de Itapemirim,8,3201209,-20.8462,-41.1198,America/Sao_Paulo
Cariacica,8,3201308,-20.2632,-40.4165,America/Sao_Paulo
Castelo,8,3201407,-20.6033,-41.2031,America/Sao_Paulo
Colatina,8,3201506,-19.5493,-40.6269,America/Sao_Paulo
Conceição da Barra,8,3201605,-18.5883,-39.7362,America/Sao_Paulo
Conceição do Castelo,8,3201704,-20.3639,-41.2417,America/Sao_Paulo
Divino de São Lourenço,8,3201803,-20.6229,-41.6937,America/Sao_Paulo
Domingos Martins,8,3201902,-20.3603,-40.6594,America/Sao_Paulo
Dores do Rio Preto,8,3202009,-20.6931,-41.8405,America/Sao_Paulo
Ecoporanga,8,3202108,-18.3702,-40.836,America/Sao_Paulo
Fundão,8,3202207,-19.937,-40.4078,America/Sao_Paulo
Governador Lindenberg,8,3202256,-19.1864,-40.4473,America/Sao_Paulo
Guaçuí,8,3202306,-20.7668,-41.6734,America/Sao_Paulo
Guarapari,8,3202405,-20.6772,-40.5093,America/Sao_Paulo
Ibatiba,8,3202454,-20.2347,-41.5087,America/Sao_Paulo
Ibiraçu,8,3202504,-19.8366,-40.3732,America/Sao_Paulo
Ibitirama,8,3202553,-20.5466,-41.6667,America/Sao_Paulo
Iconha,8,3202603,-20.7913,-40.8132,America/Sao_Paulo
Irupi,8,3202652,-20.3501,-41.6444,America/Sao_Paulo
Itaguaçu,8,3202702,-19.8018,-40.8601,America/Sao_Paulo
Itapemirim,8,3202801,-21.0095,-40.8307,America/Sao_Paulo
Itarana,8,3202900,-19.875,-40.8753,America/Sao_Paulo
Iúna,8,3203007,-20.3531,-41.5334,America/Sao_Paulo
Jaguaré,8,3203056,-18.907,-40.0759,America/Sao_Paulo
Jerônimo Monteiro,8,3203106,-20.7994,-41.3948,America/Sao_Paulo
João Neiva,8,3203130,-19.7577,-40.386,America/Sao_Paulo
Laranja da Terra,8,3203163,-19.8994,-41.0621,America/Sao_Paulo
Linhares,8,3203205,-19.3946,-40.0643,America/Sao_Paulo
Mantenópolis,8,3203304,-18.8594,-41.124,America/Sao_Paulo
Marataízes,8,3203320,-21.0398,-40.8384,America/Sao_Paulo
Marechal Floriano,8,3203346,-20.4159,-40.67,America/Sao_Paulo
Marilândia,8,3203353,-19.4114,-40.5456,America/Sao_Paulo
Mimoso do Sul,8,3203403,-21.0628,-41.3615,America/Sao_Paulo
Montanha,8,3203502,-18.1303,-40.3668,America/Sao_Paulo
Mucurici,8,3203601,-18.0965,-40.52,America/Sao_Paulo
Muniz Freire,8,3203700,-20.4652,-41.4156,America/Sao_Paulo
Muqui,8,3203809,-20.9509,-41.346,America/Sao_Paulo
Nova Venécia,8,3203908,-18.715,-40.4053,America/Sao_Paulo
Pancas,8,3204005,-19.2229,-40.8534,America/Sao_Paulo
Pedro Canário,8,3204054,-18.3004,-39.9574,America/Sao_Paulo
Pinheiros,8,3204104,-18.4141,-40.2171,America/Sao_Paulo
Piúma,8,3204203,-20.8334,-40.7268,America/Sao_Paulo
Ponto Belo,8,3204252,-18.1253,-40.5458,America/Sao_Paulo
Presidente Kennedy,8,3204302,-21.0964,-41.0468,America/Sao_Paulo
Rio Bananal,8,3204351,-19.2719,-40.3366,America/Sao_Paulo
Rio Novo do Sul,8,3204401,-20.8556,-40.9388,America/Sao_Paulo
Santa Leopoldina,8,3204500,-20.0999,-40.527,America/Sao_Paulo
Santa Maria de Jetibá,8,3204559,-20.0253,-40.7439,America/Sao_Paulo
Santa Teresa,8,3204609,-19.9363,-40.5979,America/Sao_Paulo
São Domingos do Norte,8,3204658,-19.1452,-40.6281,America/Sao_Paulo
São Gabriel da Palha,8,3204708,-19.0182,-40.5365,America/Sao_Paulo
São José do Calçado,8,3204807,-21.0274,-41.6636,America/Sao_Paulo
São Mateus,8,3204906,-18.7214,-39.8579,America/Sao_Paulo
São Roque do Canaã,8,3204955,-19.7411,-40.6526,America/Sao_Paulo
Serra,8,3205002,-20.121,-40.3074,America/Sao_Paulo
Sooretama,8,3205010,-19.1897,-40.0974,America/Sao_Paulo
Vargem Alta,8,3205036,-20.669,-41.0179,America/Sao_Paulo
Venda Nova do Imigrante,8,3205069,-20.327,-41.1355,America/Sao_Paulo
Viana,8,3205101,-20.3825,-40.4933,America/Sao_Paulo
Vila Pavão,8,3205150,-18.6091,-40.609,America/Sao_Paulo
Vila Valério,8,3205176,-18.9958,-40.3849,America/Sao_Paulo
Vila Velha,8,3205200,-20.3417,-40.2875,America/Sao_Paulo
Vitória,8,3205309,-20.3155,-40.3128,America/Sao_Paulo
Acrelândia,1,1200013,-9.82581,-66.8972,America/Rio_Branco
Assis Brasil,1,1200054,-10.9298,-69.5738,America/Rio_Branco
Brasiléia,1,1200104,-10.995,-68.7497,America/Rio_Branco
Bujari,1,1200138,-9.81528,-67.955,America/Rio_Branco
Capixaba,1,1200179,-10.566,-67.686,America/Rio_Branco
Cruzeiro do Sul,1,1200203,-7.62762,-72.6756,America/Rio_Branco
Epitaciolândia,1,1200252,-11.0188,-68.7341,America/Rio_Branco
Feijó,1,1200302,-8.17054,-70.351,America/Rio_Branco
Jordão,1,1200328,-9.1908,-71.9503,America/Rio_Branco
Mâncio Lima,1,1200336,-7.61657,-72.8997,America/Rio_Branco
Manoel Urbano,1,1200344,-8.83291,-69.2679,America/Rio_Branco
Marechal Thaumaturgo,1,1200351,-8.93898,-72.7997,America/Rio_Branco
Plácido de Castro,1,1200385,-10.2806,-67.1371,America/Rio_Branco
Porto Acre,1,1200807,-9.58138,-67.5478,America/Rio_Branco
Porto Walter,1,1200393,-8.26323,-72.7537,America/Rio_Branco
Rio Branco,1,1200401,-9.97499,-67.8243,America/Rio_Branco
Rodrigues Alves,1,1200427,-7.73864,-72.661,America/Rio_Branco
Santa Rosa do Purus,1,1200435,-9.44652,-70.4902,America/Rio_Branco
Sena Madureira,1,1200500,-9.06596,-68.6571,America/Rio_Branco
Senador Guiomard,1,1200450,-10.1497,-67.7362,America/Rio_Branco
Tarauacá,1,1200609,-8.15697,-70.7722,America/Rio_Branco
Xapuri,1,1200708,-10.6516,-68.4969,America/Rio_Branco
Água Branca,2,2700102,-9.262,-37.938,America/Sao_Paulo
Anadia,2,2700201,-9.68489,-36.3078,America/Sao_Paulo
Arapiraca,2,2700300,-9.75487,-36.6615,America/Sao_Paulo
Atalaia,2,2700409,-9.5119,-36.0086,America/Sao_Paulo
Barra de Santo Antônio,2,2700508,-9.4023,-35.5101,America/Sao_Paulo
Barra de São Miguel,2,2700607,-9.83842,-35.9057,America/Sao_Paulo
Batalha,2,2700706,-9.6742,-37.133,America/Sao_Paulo
Belém,2,2700805,-9.57047,-36.4904,America/Sao_Paulo
Belo Monte,2,2700904,-9.82272,-37.277,America/Sao_Paulo
Boca da Mata,2,2701001,-9.64308,-36.2125,America/Sao_Paulo
Branquinha,2,2701100,-9.23342,-36.0162,America/Sao_Paulo
Cacimbinhas,2,2701209,-9.40121,-36.9911,America/Sao_Paulo
Cajueiro,2,2701308,-9.3994,-36.1559,America/Sao_Paulo
Campestre,2,2701357,-8.84723,-35.5685,America/Sao_Paulo
Campo Alegre,2,2701407,-9.78451,-36.3525,America/Sao_Paulo
Campo Grande,2,2701506,-9.95542,-36.7926,America/Sao_Paulo
Canapi,2,2701605,-9.11932,-37.5967,America/Sao_Paulo
Capela,2,2701704,-9.41504,-36.0826,America/Sao_Paulo
Carneiros,2,2701803,-9.48476,-37.3773,America/Sao_Paulo
Chã Preta,2,2701902,-9.2556,-36.2983,America/Sao_Paulo
Coité do Nóia,2,2702009,-9.63348,-36.5845,America/Sao_Paulo
Colônia Leopoldina,2,2702108,-8.91806,-35.7214,America/Sao_Paulo
Coqueiro Seco,2,2702207,-9.63715,-35.7994,America/Sao_Paulo
Coruripe,2,2702306,-10.1276,-36.1717,America/Sao_Paulo
Craíbas,2,2702355,-9.6178,-36.7697,America/Sao_Paulo
Delmiro Gouveia,2,2702405,-9.38534,-37.9987,America/Sao_Paulo
